UF,Sexo,Idade,Cor,Anos de Estudo,Renda
Rondônia,Masculino,37,Branca,12,788
Rondônia,Masculino,22,Parda,11,2000
Rondônia,Masculino,21,Parda,7,1400
Rondônia,Masculino,47,Parda,16,1800
Rondônia,Feminino,38,Parda,6,900
Rondônia,Masculino,69,Branca,1,1182
Rondônia,Masculino,68,Parda,1,600
Rondônia,Masculino,57,Parda,16,4200
Rondônia,Feminino,36,Preta,12,788
Rondônia,Feminino,47,Parda,13,150
Rondônia,Masculino,59,Branca,13,4000
Rondônia,Masculino,53,Parda,16,7000
Rondônia,Feminino,46,Branca,16,1700
Rondônia,Feminino,59,Branca,9,80
Rondônia,Masculino,44,Parda,12,800
Rondônia,Masculino,29,Parda,12,1000
Rondônia,Feminino,50,Parda,6,2000
Rondônia,Feminino,54,Preta,5,788
Rondônia,Feminino,47,Parda,5,870
Rondônia,Masculino,33,Parda,7,1200
Rondônia,Masculino,63,Parda,1,200
Rondônia,Feminino,37,Parda,11,1100
Rondônia,Masculino,61,Preta,5,1000
Rondônia,Masculino,42,Branca,9,2000
Rondônia,Feminino,34,Parda,10,200
Rondônia,Masculino,37,Preta,16,4300
Rondônia,Masculino,39,Branca,12,2000
Rondônia,Masculino,36,Parda,4,1200
Rondônia,Masculino,56,Parda,2,1070
Rondônia,Masculino,59,Branca,6,1000
Rondônia,Masculino,46,Branca,9,800
Rondônia,Masculino,48,Branca,16,5000
Rondônia,Masculino,59,Parda,1,350
Rondônia,Masculino,20,Parda,8,500
Rondônia,Masculino,41,Parda,10,500
Rondônia,Masculino,61,Branca,1,1100
Rondônia,Masculino,27,Branca,12,1200
Rondônia,Feminino,50,Parda,4,788
Rondônia,Masculino,74,Branca,3,1000
Rondônia,Feminino,59,Parda,9,400
Rondônia,Masculino,36,Parda,4,788
Rondônia,Masculino,57,Preta,5,150
Rondônia,Masculino,34,Branca,9,3000
Rondônia,Masculino,40,Parda,12,1300
Rondônia,Masculino,52,Parda,5,200
Rondônia,Masculino,29,Parda,11,788
Rondônia,Feminino,59,Preta,2,250
Rondônia,Masculino,43,Parda,12,1000
Rondônia,Masculino,43,Parda,6,788
Rondônia,Feminino,39,Parda,9,788
Rondônia,Masculino,38,Branca,12,2000
Rondônia,Feminino,27,Preta,1,600
Rondônia,Masculino,36,Branca,12,600
Rondônia,Masculino,56,Parda,8,4500
Rondônia,Masculino,34,Preta,12,1000
Rondônia,Masculino,61,Parda,3,788
Rondônia,Masculino,32,Branca,9,1400
Rondônia,Feminino,53,Branca,6,500
Rondônia,Masculino,59,Preta,12,0
Rondônia,Masculino,57,Parda,8,350
Rondônia,Masculino,38,Parda,12,920
Rondônia,Feminino,35,Branca,16,2400
Rondônia,Feminino,40,Branca,6,800
Rondônia,Masculino,34,Parda,5,4800
Rondônia,Masculino,31,Parda,12,3000
Rondônia,Masculino,34,Branca,9,1200
Rondônia,Masculino,34,Parda,11,1500
Rondônia,Masculino,22,Branca,8,2500
Rondônia,Masculino,64,Branca,12,1500
Rondônia,Masculino,53,Branca,16,1500
Rondônia,Masculino,36,Branca,12,1500
Rondônia,Masculino,29,Branca,9,1000
Rondônia,Masculino,49,Branca,2,2000
Rondônia,Masculino,35,Parda,9,1300
Rondônia,Masculino,21,Parda,12,1200
Rondônia,Feminino,30,Parda,5,1400
Rondônia,Masculino,52,Parda,5,1000
Rondônia,Masculino,37,Branca,5,1500
Rondônia,Feminino,57,Parda,10,1000
Rondônia,Masculino,31,Parda,15,2500
Rondônia,Masculino,58,Parda,5,200
Rondônia,Masculino,34,Parda,7,1270
Rondônia,Masculino,49,Parda,4,788
Rondônia,Feminino,31,Branca,13,1200
Rondônia,Feminino,38,Parda,9,1500
Rondônia,Masculino,27,Parda,11,45000
Rondônia,Masculino,38,Parda,12,1200
Rondônia,Masculino,48,Parda,9,1100
Rondônia,Masculino,44,Parda,9,150
Rondônia,Masculino,54,Branca,4,500
Rondônia,Masculino,60,Parda,2,1500
Rondônia,Masculino,20,Branca,7,1200
Rondônia,Masculino,39,Branca,5,1500
Rondônia,Masculino,51,Preta,9,2600
Rondônia,Masculino,42,Parda,12,3500
Rondônia,Masculino,29,Branca,16,2400
Rondônia,Masculino,58,Parda,1,100
Rondônia,Masculino,35,Parda,7,750
Rondônia,Masculino,34,Branca,5,900
Rondônia,Masculino,65,Branca,1,5000
Rondônia,Masculino,58,Parda,1,1500
Rondônia,Masculino,46,Parda,11,1000
Rondônia,Masculino,48,Branca,9,5000
Rondônia,Masculino,57,Branca,5,1400
Rondônia,Masculino,33,Parda,1,900
Rondônia,Masculino,43,Parda,4,1500
Rondônia,Masculino,43,Branca,12,1200
Rondônia,Masculino,52,Parda,1,788
Rondônia,Masculino,25,Parda,6,788
Rondônia,Masculino,50,Branca,5,2000
Rondônia,Masculino,54,Parda,9,2000
Rondônia,Masculino,50,Parda,12,2000
Rondônia,Masculino,46,Branca,1,1200
Rondônia,Feminino,41,Branca,9,2000
Rondônia,Feminino,44,Parda,9,788
Rondônia,Masculino,46,Parda,5,1290
Rondônia,Masculino,34,Parda,9,1500
Rondônia,Masculino,38,Parda,16,1200
Rondônia,Masculino,39,Parda,12,2500
Rondônia,Masculino,51,Parda,5,1800
Rondônia,Feminino,56,Parda,5,1000
Rondônia,Masculino,55,Preta,11,2500
Rondônia,Masculino,25,Parda,12,1700
Rondônia,Feminino,45,Branca,16,2790
Rondônia,Masculino,50,Branca,12,4500
Rondônia,Feminino,45,Parda,9,300
Rondônia,Masculino,33,Parda,10,5000
Rondônia,Feminino,44,Branca,9,800
Rondônia,Feminino,31,Parda,12,900
Rondônia,Masculino,28,Parda,6,788
Rondônia,Feminino,44,Parda,12,788
Rondônia,Masculino,43,Parda,14,2500
Rondônia,Feminino,63,Parda,1,788
Rondônia,Masculino,43,Parda,5,788
Rondônia,Feminino,32,Preta,16,3000
Rondônia,Masculino,41,Parda,12,3800
Rondônia,Masculino,38,Parda,3,1250
Rondônia,Masculino,51,Branca,2,7000
Rondônia,Masculino,51,Branca,5,788
Rondônia,Masculino,53,Parda,13,600
Rondônia,Masculino,70,Branca,9,1800
Rondônia,Masculino,35,Parda,9,1400
Rondônia,Masculino,24,Parda,6,800
Rondônia,Masculino,24,Parda,3,788
Rondônia,Masculino,31,Parda,5,1300
Rondônia,Masculino,37,Parda,5,788
Rondônia,Masculino,29,Parda,11,788
Rondônia,Masculino,37,Parda,14,9166
Rondônia,Masculino,60,Parda,5,800
Rondônia,Masculino,41,Parda,9,1800
Rondônia,Masculino,53,Parda,5,2000
Rondônia,Masculino,28,Preta,16,1200
Rondônia,Feminino,46,Preta,6,830
Rondônia,Masculino,53,Preta,4,1500
Rondônia,Masculino,51,Parda,7,1500
Rondônia,Masculino,36,Preta,12,1500
Rondônia,Feminino,40,Parda,12,1200
Rondônia,Masculino,45,Branca,9,2000
Rondônia,Masculino,31,Parda,12,2930
Rondônia,Masculino,53,Branca,12,4000
